"Conversion ID","Conversion Date","Recorded On",Advertiser,"Order ID","Sale Amount (USD)","Estimated Earnings (USD)","Publisher Sub ID 1",Status,Remarks
540261077,"2025-07-27 20:38:21","2025-07-28 15:48:55","Shopee PH - CPS","207319101239505 | 250727995XMY72",2.15,0.03,MP,Pending,
539964274,"2025-07-27 20:35:44","2025-07-28 01:48:54","TikTok Shop ID - CPS",579774683572962543,1.25,0.02,MP,Pending,
540261375,"2025-07-27 20:33:05","2025-07-28 15:49:24","Shopee PH - CPS","207318784283870 | 25072798VGC5HK",1.63,0.02,MP,Pending,
540261370,"2025-07-27 20:33:05","2025-07-28 15:49:23","Shopee PH - CPS","207318784283870 | 25072798VGC5HK",1.71,0.02,MP,Pending,
540261365,"2025-07-27 20:33:05","2025-07-28 15:49:23","Shopee PH - CPS","207318784283870 | 25072798VGC5HK",1.73,0.02,MP,Pending,
540261361,"2025-07-27 20:33:05","2025-07-28 15:49:23","Shopee PH - CPS","207318784283870 | 25072798VGC5HK",2.97,0.04,MP,Pending,
540261357,"2025-07-27 20:33:05","2025-07-28 15:49:22","Shopee PH - CPS","207318784283870 | 25072798VGC5HK",1.66,0.02,MP,Pending,
540261354,"2025-07-27 20:33:05","2025-07-28 15:49:22","Shopee PH - CPS","207318784283870 | 25072798VGC5HK",0.68,0.01,MP,Pending,
540261350,"2025-07-27 20:33:05","2025-07-28 15:49:22","Shopee PH - CPS","207318784283870 | 25072798VGC5HK",1.73,0.02,MP,Pending,
540261346,"2025-07-27 20:33:05","2025-07-28 15:49:21","Shopee PH - CPS","207318784283870 | 25072798VGC5HK",2.01,0.02,MP,Pending,
540261343,"2025-07-27 20:33:05","2025-07-28 15:49:21","Shopee PH - CPS","207318784283870 | 25072798VGC5HK",1.92,0.02,MP,Pending,
540261341,"2025-07-27 20:33:05","2025-07-28 15:49:21","Shopee PH - CPS","207318784283870 | 25072798VGC5HK",4.88,0.03,MP,Pending,
540261338,"2025-07-27 20:33:05","2025-07-28 15:49:21","Shopee PH - CPS","207318784283870 | 25072798VGC5HK",2.54,0.02,MP,Pending,
540261334,"2025-07-27 20:33:05","2025-07-28 15:49:20","Shopee PH - CPS","207318784283870 | 25072798VGC5HK",1.38,0.02,MP,Pending,
540261331,"2025-07-27 20:33:05","2025-07-28 15:49:20","Shopee PH - CPS","207318784283870 | 25072798VGC5HK",1.38,0.02,MP,Pending,
540261326,"2025-07-27 20:33:05","2025-07-28 15:49:19","Shopee PH - CPS","207318784283870 | 25072798VGC5HK",1.49,0.01,MP,Pending,
540261321,"2025-07-27 20:33:05","2025-07-28 15:49:19","Shopee PH - CPS","207318784283870 | 25072798VGC5HK",2.19,0.03,MP,Pending,
540261318,"2025-07-27 20:33:05","2025-07-28 15:49:19","Shopee PH - CPS","207318784283870 | 25072798VGC5HK",0.86,0.01,MP,Pending,
540075969,"2025-07-27 20:31:11","2025-07-28 13:42:36","Shopee ID (Media Buyers) - CPS","207318671255471 | 25072798S4JYJS",3.61,0.05,MP,Pending,
540261536,"2025-07-27 20:28:33","2025-07-28 15:49:39","Shopee PH - CPS","207318513222901 | 25072798MDVBT7",1.10,0.01,MP,Pending,
540261699,"2025-07-27 20:25:01","2025-07-28 15:49:56","Shopee PH - CPS","207318300282029 | 25072798E2SUSX",1.66,0.02,MP,Pending,
540252117,"2025-07-27 20:24:58","2025-07-28 15:39:36","Shopee PH - CPS","207318298207482 | 25072798E0TC8D",1.42,0.02,MP,Pending,
539965020,"2025-07-27 20:24:14","2025-07-28 01:49:40","TikTok Shop ID - CPS",579774529342506843,0.84,0.02,MP,Pending,
540261934,"2025-07-27 20:20:54","2025-07-28 15:50:20","Shopee PH - CPS","207318054275418 | 250727986R689A",1.75,0.02,MP,Pending,
540261951,"2025-07-27 20:20:40","2025-07-28 15:50:22","Shopee PH - CPS","207318040269058 | 250727986ATRCP",13.39,0.12,MP,Pending,
540261960,"2025-07-27 20:20:35","2025-07-28 15:50:23","Shopee PH - CPS","207318035297668 | 25072798662X3R",1.56,0.02,MP,Pending,
540261958,"2025-07-27 20:20:35","2025-07-28 15:50:23","Shopee PH - CPS","207318035297668 | 25072798662X3R",3.15,0.04,MP,Pending,
540262052,"2025-07-27 20:19:35","2025-07-28 15:50:33","Shopee PH - CPS","207317974285921 | 250727984BW6EB",4.78,0.06,MP,Pending,
540079443,"2025-07-27 20:16:18","2025-07-28 13:45:15","Shopee ID (Media Buyers) - CPS","207317779229159 | 25072797XHVETH",3.23,0.05,MP,Pending,
540162200,"2025-07-27 20:15:40","2025-07-28 14:39:11","Shopee PH - CPS","207317740216646 | 25072797WCNUHM",3.66,0.04,MP,Pending,
540262363,"2025-07-27 20:15:17","2025-07-28 15:51:06","Shopee PH - CPS","207317717216733 | 25072797VPQT6K",0.56,0.01,MP,Pending,
540262359,"2025-07-27 20:15:17","2025-07-28 15:51:05","Shopee PH - CPS","207317717216733 | 25072797VPQT6K",1.05,0.01,MP,Pending,
540261721,"2025-07-27 20:14:51","2025-07-28 15:49:58","Shopee PH - CPS","207317691297921 | 25072797UX0YJN",1.96,0.02,MP,Pending,
540261794,"2025-07-27 20:12:58","2025-07-28 15:50:05","Shopee PH - CPS","207317578272326 | 25072797RJ7RWY",14.75,0.18,MP,Pending,
539965846,"2025-07-27 20:12:32","2025-07-28 01:50:36","TikTok Shop ID - CPS",579774457751242390,0.64,0.02,MP,Pending,
540261942,"2025-07-27 20:09:07","2025-07-28 15:50:21","Shopee PH - CPS","207317347290781 | 25072797HNXQGM",1.56,0.02,MP,Pending,
539966113,"2025-07-27 20:08:52","2025-07-28 01:50:52","TikTok Shop ID - CPS",579774360534877244,0.60,0.01,MP,Pending,
540262002,"2025-07-27 20:08:06","2025-07-28 15:50:28","Shopee PH - CPS","207317286226740 | 25072797FUQ6FD",2.43,0.03,MP,Pending,
540261999,"2025-07-27 20:08:06","2025-07-28 15:50:28","Shopee PH - CPS","207317286226740 | 25072797FUQ6FD",1.01,0.00,MP,Pending,
540261996,"2025-07-27 20:08:06","2025-07-28 15:50:27","Shopee PH - CPS","207317286226740 | 25072797FUQ6FD",0.93,0.01,MP,Pending,
539966577,"2025-07-27 20:02:26","2025-07-28 01:51:22","TikTok Shop ID - CPS",579774295178970629,4.13,0.09,MP,Pending,
540262471,"2025-07-27 19:56:47","2025-07-28 15:51:19","Shopee PH - CPS","207316607272091 | 25072796UM7AA7",2.71,0.03,MP,Pending,
540262492,"2025-07-27 19:56:03","2025-07-28 15:51:20","Shopee PH - CPS","207316564227441 | 25072796TB5FN7",11.20,0.13,MP,Pending,
540262620,"2025-07-27 19:54:03","2025-07-28 15:51:35","Shopee PH - CPS","207316443239754 | 25072796PQS3US",1.57,0.01,MP,Pending,
540262709,"2025-07-27 19:52:33","2025-07-28 15:51:44","Shopee PH - CPS","207316353209604 | 25072796M1WR0N",1.38,0.02,MP,Pending,
540262810,"2025-07-27 19:51:24","2025-07-28 15:51:54","Shopee PH - CPS","207316284298719 | 25072796J06H92",20.12,0.24,MP,Pending,
540262814,"2025-07-27 19:51:16","2025-07-28 15:51:54","Shopee PH - CPS","207316276202120 | 25072796HRFSYP",1.00,0.01,MP,Pending,
